Designator,Mid X,Mid Y,Layer,Rotation
BT1,-66.5175,20.75,top,-90
C1,-38.62,-1.6,top,0
C2,-55.75,-3.48,top,90
C3,-39.83,-10.4,top,180
C4,-55.75,-8.77,top,-90
C5,-29.75,-2.77,top,-90
C6,-71.5,-10,top,180
C7,-29.75,-8.25,top,90
C8,-69.7,-1.52,top,-90
C9,-33.7,12,top,45
C10,-34.4,12.7,top,45
C11,-57.2,7.7,top,180
C12,-55.6,4.2,top,90
C13,-54.2,4.9,top,180
C14,-43.4,7.7,top,0
C15,-43.6,4.15,top,0
C16,-43.4,6.5,top,0
C17,-45.3875,2.6,top,0
C18,-50.3,2.1,top,-135
C19,-54.2,5.9,top,180
C20,-49.75,12.48,top,90
C21,-45.5,12,top,0
C22,-43.6,5.1,top,0
C23,-74.3,-3.8,top,-90
C24,-69.7,0.5,top,-90
C26,-43.178,18,top,0
C27,-69.2,2.3,top,180
D1,-72,-3.5,top,90
D2,-27.9,32.25,top,-90
D3,-71.6,4.5,top,90
J2,-37.5,34.5,top,180
J3,-54.8,11.16,top,180
M1,-74.4,3.65,top,180
Q1,-72,-7.5,top,90
Q2,-27.25,-8.75,top,-90
Q3,-68.5,4.5,top,180
R1,-55.75,-5.5,top,90
R2,-53.9,1.8,top,90
R3,-29.75,-4.75,top,90
R4,-39.3,29.49,top,90
R5,-36.2,29.49,top,-90
R6,-37.333363,16.416637,top,-135
R7,-54.7,7.1,top,0
R8,-39.75,5.5,top,0
R9,-39.75,4,top,0
R10,-74.6,-7.9,top,90
R11,-27.9,29.25,top,90
R12,-28,-4.2,top,90
R13,-27.175,-6,top,0
R14,-64.75,5,top,135
SW1,-51.085,30,top,180
U1,-42.9,-6,top,-90
U2,-60.5,-6.5,top,-90
U3,-67.5,-6.5,top,90
U4,-34.5,-6,top,-90
U5,-39,11.75,top,-45
U6,-48.75,7.25,top,-90
U7,-72.2,0.2,top,180
U8,-48.1,21.95,top,180
U9,-48.1,16.25,top,0
Y1,-57.8875,4.5,top,90
Y2,-39.5,22,top,90
